uniq_id,reference,bike_type,bike_size,bike_year,bike_year_circulation,bike_km,bike_color,bike_warranty,bike_description,price,bike_brand,bike_model,vendor_city,vendor_type,source,scrap_date,url
moto-selection-1188962,1188962,SCOOTER,125,2018,0,7650,,,"  ABS,Saute vent,Financement possible,Aucun consommable à prévoir,Révision faite,1ère main,Garantie 3 mois",2590,SYM,GTS, La Garenne Colombes,Pro,moto-selection,2021-06-05 11:26:35.679271,http://www.moto-selection.com/moto-occasion/sym-gts/1188962.html
moto-selection-1189047,1189047,ROUTIÈRE,689,2021,0,650,,,"Moto de demonstration, equipée avec selle confort basgter, dispo immédiate   ,Compatible Permis A2,Garantie constructeur jusqu'au 02/02/2021",8999,YAMAHA,TRACER 7, Ruaudin,Pro,moto-selection,2021-06-05 11:26:41.996123,http://www.moto-selection.com/moto-occasion/yamaha-tracer-7/1189047.html
moto-selection-1189029,1189029,TRAIL,1000,2014,0,11818,,,"KAWASAKI 1000 VERSYS abs ! Véhicule révisé, entretien et consommables a jour, aucun frais a prévoir. Options : Valises, top case et protège mains. Reprise et financement possibles. Livraison possible en France métropolitaine.   ",7990,KAWASAKI,1000 VERSYS, Limonest,Pro,moto-selection,2021-06-05 11:26:47.181785,http://www.moto-selection.com/moto-occasion/kawasaki-1000-versys/1189029.html
moto-selection-1188958,1188958,ROADSTER,600,2003,0,41200,,,"SELLE CONFORT  POT SCORPION  POIGNÉES CHAUFFANTES   ,Garantie 6 mois",3490,HONDA,CB HORNET, Dunkerque,Pro,moto-selection,2021-06-05 11:26:47.263209,http://www.moto-selection.com/moto-occasion/honda-cb-hornet/1188958.html
moto-selection-1188980,1188980,ROADSTER,650,2015,0,1545,,,"ABS, REVISION ANNUELLE FAITE AUCUN FRAIS A PREVOIR. MOTO ACCESSIBLE AVEC LE PERMIS A2 (moto déjà bridée).  1ER MAIN   MOTO GARANTIE 3 MOIS   47CV,ABS,Peinture vernie,Coupe circuit,Suspension préparée,Warning,Démarches administratives sur place,Essai sur rendez-vous,Financement & Assurance possibles ,Gravage possible,Livraison possible,Prix hors frais d'immatriculation,Reprise possible,Aucun consommable à prévoir,Double des clés ,Factures d'entretien,Révision faite,Trousse à outil,100% d'origine,Affaire à saisir,Etat exceptionnel,Faible kilométrage,Première main,1ère main,Compatible Permis A2,Disponible à l'essai,Garantie 3 mois",4500,KAWASAKI,ER-6, Aulnay Sous Bois,Pro,moto-selection,2021-06-05 11:26:47.350158,http://www.moto-selection.com/moto-occasion/kawasaki-er-6/1188980.html
moto-selection-1189045,1189045,ROUTIÈRE,1300,2009,0,43700,,,"Sans double de clé  ABS,Béquille centrale,Selle confort,Top case,Assurance sur place,Démarches administratives sur place,Transport possible,Dossier d'entretien complet,Manuel d'origine,Révision faite,100% d'origine,En parfait état,Dépôt-vente  SUD OUEST MOTO 83 rue de la Marne 33500 Libourne  contact : Sylvain ou Alexis tel: 05.57.55.28.81 mail: sud-ouest-moto@wanadoo.fr  Concessionnaire . APRILIA - MOTO GUZZI - VESPA - PIAGGIO - KAWASAKI - SUZUKI - YAMAHA ",6500,HONDA,PAN-EUROPEAN, Libourne,Pro,moto-selection,2021-06-05 11:26:52.706711,http://www.moto-selection.com/moto-occasion/honda-pan-european/1189045.html
moto-selection-1189011,1189011,ROUTIÈRE,1200,2008,0,47908,,,"4/1 REF :11271. DEPOT VENTE DE PARTICULIER, véhicule contrôlé par un professionnel c'est un achat en toute sécurité  .LIVRAISON CHEZ VOUS sur DEVIS, NOUS CONSULTER.REPRISE ASSURANCE ET FINANCEMENT POSSIBLE.  4en1 le plus grand choix de véhicule d'occasion de Paris ! Achat cash ou reprise possible Ouvert du Mardi au Samedi de 9h30 à 13h et de 14h à 18h30 Tél : 01.40.36.40.36 . Nous rachetons votre véhicule au meilleur prix !  Modèles équivalents : Honda nc750x Africa twin varadero crf100l  xadv CB500x cb500f cb500x cb650 kawasaki z650 z750 z800 z900 z1000 z1000sx versys versys1000 kle suzuki vstrom gsr gsr750 gsxs yamaha mt09  tracer mt07 mt09 mt10 mt10sp super tenere xt xt660 bmw r1200rt 1200gs k1600 k1200 f800 triumph street triple speed triple tiger 800 KTM R1200rt GS RT K1600 K 1600 GTL  GTR CB Bandit R1200RT Goldwing   ABS,Anti-patinage,Peinture vernie,Pare cylindre,Suspension pilotée,Dépôt-vente",6390,BMW,R 1200, Paris 10,Pro,moto-selection,2021-06-05 11:26:52.792458,http://www.moto-selection.com/moto-occasion/bmw-r-1200/1189011.html
moto-selection-1188960,1188960,SCOOTER,50,2021,0,2000,,,"  ,Garantie constructeur jusqu'au 24/04/2024",1400,SYM,ORBIT 3, Dunkerque,Pro,moto-selection,2021-06-05 11:26:52.877066,http://www.moto-selection.com/moto-occasion/sym-orbit-3/1188960.html
moto-selection-1189007,1189007,ROUTIÈRE,865,2020,0,3000,,,"  ABS,Anti-démarrage,Anti-patinage,Peinture métal,Prise USB,1ère main,Compatible Permis A2,Disponible à l'essai,Garantie constructeur jusqu'au 27/04/2022",9500,TRIUMPH,BONNEVILLE T100, Nice,Pro,moto-selection,2021-06-05 11:27:00.052764,http://www.moto-selection.com/moto-occasion/triumph-bonneville-t100/1189007.html
moto-selection-1189023,1189023,SCOOTER,300,2014,0,15880,,,"HONDA NSS 300 FORZA abs !  Véhicule révisé, entretien et consommables a jour, aucun frais a prévoir. Options : Top case. Reprise et financement possibles. Livraison possible en France métropolitaine.   ",2990,HONDA,300 FORZA, Limonest,Pro,moto-selection,2021-06-05 11:27:05.159207,http://www.moto-selection.com/moto-occasion/honda-300-forza/1189023.html
